Designator,Mid X,Mid Y,Rotation,Layer
C1,120.0,-114.175,180.0,top
C10,137.4,-103.375,90.0,top
C11,143.0,-107.8,180.0,top
C12,139.6,-103.375,90.0,top
C13,130.2,-110.0,90.0,top
C14,127.4,-115.6,180.0,top
C15,145.2,-99.8,90.0,top
C2,123.575,-114.2,0.0,top
C3,138.6,-109.775,270.0,top
C4,124.0,-101.2,90.0,top
C5,136.6,-109.775,270.0,top
C6,121.8,-101.175,90.0,top
C7,138.6,-114.0,90.0,top
C8,136.6,-114.0,90.0,top
C9,147.4,-109.1,0.0,top
D1,145.9875,-102.6,180.0,top
Laser out,155.4125,-111.35,90.0,top
R1,119.1,-110.5,90.0,top
R2,127.425,-110.75,0.0,top
R3,127.4,-113.6,0.0,top
R4,145.975,-104.6,180.0,top
R5,143.0,-103.4,90.0,top
R6,143.0,-99.775,90.0,top
R7,147.4,-111.4,0.0,top
Ref in,106.9625,-111.4,270.0,top
U1,123.6,-111.6,180.0,top
U2,130.8,-102.375,0.0,top
U3,133.400001,-108.950001,0.0,top
U4,133.400001,-113.850001,0.0,top
U5,143.0,-111.2,0.0,top
VCC/GND,117.4,-104.6,180.0,top
